alternative,missing function
Operation_IceBridge_Portal,"As a user, I can download and save visualizations from the tool"
Operation_IceBridge_Portal,"As a user, I can view and download Summary Statistics for selected data"
Operation_IceBridge_Portal,As a user I can visualize data statistics
Operation_IceBridge_Portal,The UI allows for data spatial subsetting transformations
Operation_IceBridge_Portal,The UI allows for data spatial subsetting transformations via region
Operation_IceBridge_Portal,The UI allows for data  temporal subsetting transformations?
Operation_IceBridge_Portal,The UI allows for data  band/layer/variable subsetting transformations?
Operation_IceBridge_Portal,The UI allows for data reprojection transformations
Operation_IceBridge_Portal,The UI allows the reformatting of output files into other formats.
Operation_IceBridge_Portal,Ability to bulk download customized output files
Operation_IceBridge_Portal,The UI allows for requesting coincident data transformations
Operation_IceBridge_Portal,"As a user, I can view my transformation history"
Operation_IceBridge_Portal,"As a user, I can view my transformation status and progress"
Operation_IceBridge_Portal,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
Operation_IceBridge_Portal,Ability to re-submit the exact same request
Operation_IceBridge_Portal,"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
Operation_IceBridge_Portal,Offer a formal citation for users to easily cite the tool in publications.
Operation_IceBridge_Portal,The tool prevents users from applying incompatible combinations
Operation_IceBridge_Portal,UI design is responsive (e.g. based on client type).
Operation_IceBridge_Portal,"As a user, I can complete all tasks within the tool UX"
Vertex,Number of DAACs/SIPS from which data is accessed?
Vertex,"As a user, I can generate a high resolution animation for presentations"
Vertex,"As a user, I can download and save visualizations from the tool"
Vertex,The UI allows for data spatial subsetting transformations via region
Vertex,The UI allows for data reprojection transformations
Vertex,The UI allows the reformatting of output files into other formats.
Vertex,The UI allows for requesting coincident data transformations
Vertex,Offer a formal citation for users to easily cite the tool in publications.
Earthdata_Search,Search by criteria streamlined to use-based specific needs
Earthdata_Search,"As a user, I can visualize data as an interactive time series."
Earthdata_Search,"As a user, I can visualize quality information for my desired data within the UI"
Earthdata_Search,"As a user, I can compare measurements within the tool Original: Interactively view and compare time series of in situ measurements in a plot Also: As a user, I can visually and mathematically compare two separate variables."
Earthdata_Search,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Earthdata_Search,"As a (logged in) user, I can view my visualization history."
Earthdata_Search,"As a user, I can view the manner in which the visualization was created"
Earthdata_Search,"As a user, I can generate a high resolution animation for presentations"
Earthdata_Search,"As a user, I can download and save visualizations from the tool"
Earthdata_Search,"As a user, I can view and download Summary Statistics for selected data"
Earthdata_Search,As a user I can visualize data statistics
Earthdata_Search,The UI allows for data spatial subsetting transformations via region
Earthdata_Search,"As a user, I can view my transformation history"
Earthdata_Search,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
Earthdata_Search,Offer a formal citation for users to easily cite the tool in publications.
Earthdata_Search,UI design is responsive (e.g. based on client type).
SOOT,Number of DAACs/SIPS from which data is accessed?
SOOT,"As a user, I can search data based on Geospatial areas"
SOOT,Search by criteria streamlined to use-based specific needs
SOOT,"As a user, I can share my search with colleagues."
SOOT,"As a user, i can view historical searches"
SOOT,"As a user, I can acquire data via public API"
SOOT,Visualize environmental indicators on a map and browse imagery
SOOT,"As a user, I can visualize data availability on a timeline"
SOOT,"As a user, I can visualize data on an interactive map"
SOOT,"As a user, I can visualize data as an interactive time series."
SOOT,"As a user, I can visualize multiple data variables at once."
SOOT,"As a user, I can visualize quality information for my desired data within the UI"
SOOT,"As a user, I can compare measurements within the tool Original: Interactively view and compare time series of in situ measurements in a plot Also: As a user, I can visually and mathematically compare two separate variables."
SOOT,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
SOOT,"As a user, I can share my visualization with colleagues."
SOOT,"As a (logged in) user, I can view my visualization history."
SOOT,"As a user, I can view the manner in which the visualization was created"
SOOT,"As a user, I can generate a high resolution animation for presentations"
SOOT,"As a user, I can download and save visualizations from the tool"
SOOT,"As a user, I can view and download Summary Statistics for selected data"
SOOT,As a user I can visualize data statistics
SOOT,The UI allows for data spatial subsetting transformations
SOOT,The UI allows for data spatial subsetting transformations via region
SOOT,The UI allows for data  temporal subsetting transformations?
SOOT,The UI allows for data reprojection transformations
SOOT,The UI allows the reformatting of output files into other formats.
SOOT,"As a user, I can view my transformation history"
SOOT,"As a user, I can view my transformation status and progress"
SOOT,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
SOOT,"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
SOOT,UI design is responsive (e.g. based on client type).
Airborne_Data_Visualizer,Number of DAACs/SIPS from which data is accessed?
Airborne_Data_Visualizer,"As a user, I can search and access NASA EOSDIS's available data holdings"
Airborne_Data_Visualizer,"As a user, I can search data based on Geospatial areas"
Airborne_Data_Visualizer,Search data by product ID (short name)
Airborne_Data_Visualizer,Search by criteria streamlined to use-based specific needs
Airborne_Data_Visualizer,"As a user, I can search for data based on keywords"
Airborne_Data_Visualizer,"As a user, I can search for data variables based on keywords."
Airborne_Data_Visualizer,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Airborne_Data_Visualizer,"As a user, available services (and valid date ranges, etc.) are dynamically listed based on my data and search selections."
Airborne_Data_Visualizer,"As a user, i can view historical searches"
Airborne_Data_Visualizer,"As a user, I can bulk download search data"
Airborne_Data_Visualizer,Visualize environmental indicators on a map and browse imagery
Airborne_Data_Visualizer,"As a user, I can visualize data availability on a timeline"
Airborne_Data_Visualizer,"As a user, I can visualize quality information for my desired data within the UI"
Airborne_Data_Visualizer,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Airborne_Data_Visualizer,"As a (logged in) user, I can view my visualization history."
Airborne_Data_Visualizer,"As a user, I can view the manner in which the visualization was created"
Airborne_Data_Visualizer,"As a user, I can generate a high resolution animation for presentations"
Airborne_Data_Visualizer,"As a user, I can download and save visualizations from the tool"
Airborne_Data_Visualizer,"As a user, I can view and download Summary Statistics for selected data"
Airborne_Data_Visualizer,As a user I can visualize data statistics
Airborne_Data_Visualizer,The UI allows for data spatial subsetting transformations
Airborne_Data_Visualizer,The UI allows for data spatial subsetting transformations via region
Airborne_Data_Visualizer,The UI allows for data  temporal subsetting transformations?
Airborne_Data_Visualizer,The UI allows for data  band/layer/variable subsetting transformations?
Airborne_Data_Visualizer,The UI allows for data reprojection transformations
Airborne_Data_Visualizer,The UI allows the reformatting of output files into other formats.
Airborne_Data_Visualizer,Ability to bulk download customized output files
Airborne_Data_Visualizer,The UI allows for requesting coincident data transformations
Airborne_Data_Visualizer,"As a user, I can view my transformation history"
Airborne_Data_Visualizer,"As a user, I can view my transformation status and progress"
Airborne_Data_Visualizer,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
Airborne_Data_Visualizer,Ability to re-submit the exact same request
Airborne_Data_Visualizer,"The UI provides access to data quality information- this may be through look up tables, masks, or user guides. originally: Data  are accompanied by the associated data quality information , decoded out of binary format into a human-readable explanation of the quality interpretation for an observation (Quality Lookup Tables provided)"
Airborne_Data_Visualizer,The tool prevents users from applying incompatible combinations
Airborne_Data_Visualizer,UI design is responsive (e.g. based on client type).
Giovanni,"As a user, I can search for data based on Temporal bounds"
Giovanni,Search by criteria streamlined to use-based specific needs
Giovanni,"As a user, I can visualize quality information for my desired data within the UI"
Giovanni,The UI allows for requesting coincident data transformations
Worldview,"As a user, I can search data based on Geospatial areas"
Worldview,"As a user, I can search for data based on Temporal bounds"
Worldview,A curated list of locations is supplied to enable common or popular searches Originally: Search for data at common/popular field and flux tower sites
Worldview,"As a user, I can acquire data via direct download in the UI"
Worldview,"As a user, I can bulk download search data"
Worldview,"As a user, I can visualize quality information for my desired data within the UI"
Worldview,"As a user, I can visualize data from a curated list of locations on the map. Original: Interactively view common/popular field and flux tower sites of different research networks on a map."
Worldview,"As a (logged in) user, I can view my visualization history."
Worldview,"As a user, I can view the manner in which the visualization was created"
Worldview,The UI allows for data spatial subsetting transformations
Worldview,The UI allows for data spatial subsetting transformations via region
Worldview,The UI allows for data  temporal subsetting transformations?
Worldview,The UI allows for data  band/layer/variable subsetting transformations?
Worldview,The UI allows for data reprojection transformations
Worldview,The UI allows the reformatting of output files into other formats.
Worldview,Ability to bulk download customized output files
Worldview,The UI allows for requesting coincident data transformations
Worldview,"As a user, I can view my transformation history"
Worldview,"As a user, I can view my transformation status and progress"
Worldview,"As a user, I can visualize my customized data within the UI (e.g. transformations applied)"
Worldview,Ability to re-submit the exact same request
Worldview,"As a user, I can complete all tasks within the tool UX"
